"old";"new"
"Xã Mỹ Hưng";"My Hung"
"Xã Bình Minh";"Binh Minh"
"Xã Tam Hưng";"Tam Hung"
"Xã Thanh Cao";"Thanh Cao"
"Xã Thanh Thùy";"Thanh Thuy"
"Xã Thanh Mai";"Thanh Mai"
"Xã Kim An";"Kim An"
"Xã Kim Thư";"Kim Thu"
"Xã Thanh Văn";"Thanh Van"
"Xã Đỗ Động";"Do Dong"
"Xã Tân Ước";"Tan Uoc"
"Xã Phương Trung";"Phuong Trung"
"Xã Liên Châu";"Lien Chau"
"Xã Dân Hòa";"Dan Hoa"
"Xã Cao Dương";"Cao Duong"
"Xã Xuân Dương";"Xuan Duong"
"Xã Hồng Dương";"Hong Duong"
"Thị trấn Thường Tín";"Thuong Tin"
"Xã Khánh Hà";"Khanh Ha"
"Xã Ninh Sở";"Ninh So"
"Xã Duyên Thái";"Duyen Thai"
"Xã Nhị Khê";"Nhi Khe"
"Xã Hòa Bình";"Hoa Binh"
"Xã Văn Bình";"Van Binh"
"Xã Vân Tảo";"Van Tao"
"Xã Hồng Vân";"Hong Van"
"Xã Hiền Giang";"Hien Giang"
"Xã Liên Phương";"Lien Phuong"
"Xã Văn Phú";"Van Phu"
"Xã Tự Nhiên";"Tu Nhien"
"Xã Thư Phú";"Thu Phu"
"Xã Tiền Phong";"Tien Phong"
"Xã Hà Hồi";"Ha Hoi"
"Xã Nguyễn Trãi";"Nguyen Trai"
"Xã Chương Dương";"Chuong Duong"
"Xã Quất Động";"Quat Dong"
"Xã Thắng Lợi";"Thang Loi"
"Xã Lê Lợi";"Le Loi"
"Xã Dũng Tiến";"Dung Tien"
"Xã Nghiêm Xuyên";"Nghiem Xuyen"
"Xã Tô Hiệu";"To Hieu"
"Xã Thống Nhất";"Thong Nhat"
"Xã Văn Tự";"Van Tu"
"Xã Vạn Điểm";"Van Diem"
"Xã Minh Cường";"Minh Cuong"
"Thị trấn Đại Nghĩa";"Dai Nghia"
"Xã Đồng Tâm";"Dong Tam"
"Xã Thượng Lâm";"Thuong Lam"
"Xã Tuy Lai";"Tuy Lai"
"Xã Phúc Lâm";"Phuc Lam"
"Xã Mỹ Thành";"My Thanh"
"Xã Bột Xuyên";"Bot Xuyen"
"Xã An Mỹ";"An My"
"Xã Hồng Sơn";"Hong Son"
"Xã Lê Thanh";"Le Thanh"
"Xã Xuy Xá";"Xuy Xa"
"Xã Phù Lưu Tế";"Phu Luu Te"
"Xã Đại Hưng";"Dai Hung"
"Xã Vạn Kim";"Van Kim"
"Xã Đốc Tín";"Doc Tin"
"Xã Hương Sơn";"Huong Son"
"Xã Hùng Tiến";"Hung Tien"
"Xã An Tiến";"An Tien"
"Xã Hợp Tiến";"Hop Tien"
"Xã Hợp Thanh";"Hop Thanh"
"Xã An Phú";"An Phu"
"Thị trấn Vân Đình";"Van Dinh"
"Xã Viên An";"Vien An"
"Xã Viên Nội";"Vien Noi"
"Xã Sơn Công";"Son Cong"
"Xã Đồng Tiến";"Dong Tien"
"Xã Vạn Thái";"Van Thai"
"Xã Hòa Xá";"Hoa Xa"
"Xã Hòa Nam";"Hoa Nam"
"Xã Hòa Phú";"Hoa Phu"
"Xã Phù Lưu";"Phu Luu"
"Xã Lưu Hoàng";"Luu Hoang"
"Xã Hồng Quang";"Hong Quang"
"Xã Cao Thành";"Cao Thanh"
"Xã Hoa Sơn";"Hoa Son"
"Xã Trường Thịnh";"Truong Thinh"
"Xã Quảng Phú Cầu";"Quang Phu Cau"
"Xã Liên Bạt";"Lien Bat"
"Xã Phương Tú";"Phuong Tu"
"Xã Tảo Dương Văn";"Tao Duong Van"
"Xã Đội Bình";"Doi Binh"
"Xã Đại Hùng";"Dai Hung"
"Xã Đại Cường";"Dai Cuong"
"Xã Đông Lỗ";"Dong Lo"
"Xã Trung Tú";"Trung Tu"
"Xã Đồng Tân";"Dong Tan"
"Xã Minh Đức";"Minh Duc"
"Xã Kim Đường";"Kim Duong"
"Xã Hòa Lâm";"Hoa Lam"
"Xã Trầm Lộng";"Tram Long"
"Thị trấn Phú Xuyên";"Phu Xuyen"
"Thị trấn Phú Minh";"Phu Minh"
"Xã Hồng Minh";"Hong Minh"
"Xã Phượng Dực";"Phuong Duc"
"Xã Đại Thắng";"Dai Thang"
"Xã Tri Trung";"Tri Trung"
"Xã Văn Hoàng";"Van Hoang"
"Xã Phú Túc";"Phu Tuc"
"Xã Hoàng Long";"Hoang Long"
"Xã Quang Trung";"Quang Trung"
"Xã Nam Triều";"Nam Trieu"
"Xã Sơn Hà";"Son Ha"
"Xã Chuyên Mỹ";"Chuyen My"
"Xã Phúc Tiến";"Phuc Tien"
"Xã Vân Từ";"Van Tu"
"Xã Đại Xuyên";"Dai Xuyen"
"Xã Phú Yên";"Phu Yen"
"Xã Châu Can";"Chau Can"
"Xã Văn Nhân";"Van Nhan"
"Xã Thụy Phú";"Thuy Phu"
"Xã Hồng Thái";"Hong Thai"
"Xã Nam Phong";"Nam Phong"
"Xã Khai Thái";"Khai Thai"
